id,title,likes,views,engagement_rate,log_likes
1,Gu long song gaga bad,12000,414000,0.02899,4.0792
2,beautiful dish with 5 pounds of duck intestines,20000,1301143,0.01537,4.3011
3,This sudden reversal,132000,4108000,0.03213,5.1206
4,pumpkin play armor new outfit,70000,798000,0.08772,4.8451
5,the wife a day brush 200,31000,3078226,0.01007,4.4914
6,What if the accompaniment suddenly stops? See the king singer how to sing to save the scene,44000,1277000,0.03446,4.6435
7,become the North state family alliance leader # summer attack # cartoon recommendation # cartoon commentary,18000,492000,0.03659,4.2553
8,a friend sent a box of sea urchins,13000,582000,0.02234,4.114
9,salted fish brother: the method of fighting poison almost sent me away,40000,947886,0.0422,4.6021
10,Fatherland man may not be a nice guy,12000,302000,0.03974,4.0792
11,KnifeTooth Death Row 37 Oliba VS Shake Hands God of War! # Anime # BladeFangs,72000,2055974,0.03502,4.8573
12,Will 180 seconds make your ears happy? # Garden God Cut # Summer Smash #Stov Anime Club has been addicted to ASMRꉂ(ᗜ,25000,345000,0.07246,4.398
13,# game creator # game stars plan # strongest NBA this game will not close down rest assured brothers I broadcast every day! Can't find Aaron here oh,19000,717844,0.02647,4.2788
14,What kind of bobo is this? I hit it this far...,30000,972541,0.03085,4.4771
15,because you don't know which day you will regret,45000,788000,0.05711,4.6532
16,white paper into a strange monster,12000,424000,0.0283,4.0792
17,the boy went out to find the holy Land of salvage! Picked up a lot of ultraman card bag,33000,1309000,0.02521,4.5185
18,a room that never leaves,99000,3093000,0.03201,4.9956
19,# Say the hero who is the hero # Fast hand film and television new hot plan brilliant quartet actress Zhu Xiaowaist how to do so # hot with fast film,58000,6534832,0.00888,4.7634
20,animation and big movies have been cut by us,19000,159000,0.1195,4.2788
21,59 yuan roast buffet! Unlimited time to eat,30000,1063900,0.0282,4.4771
22,the counterattack of the third grade girls,170000,5231000,0.0325,5.2305
23,peace elite limit hunting,16000,861919,0.01856,4.2041
24,see it again will fly a plane genius bear to save a plane of people # summer attack,510000,6943000,0.07346,5.7076
25,#Swagger Chun Yu:,18000,331938,0.05423,4.2553
26,Fly Out of the Future special: Bender becomes a man,39000,2393000,0.0163,4.5911
27,the 10th day of the motorhome road tour,114000,4580792,0.02489,5.0569
28,Peace elite: The Chinese team took turns to play the Korean team # game # chicken game # Peace elite,173000,7822138,0.02212,5.238
29,Why can Iron Man compete with God # Marvel # Iron Man,100000,3950000,0.02532,5.0
30,Who can say no to a handsome,18000,318000,0.0566,4.2553
31,the iron Putin,25000,2308000,0.01083,4.398
32,# Assemble,31000,424000,0.07311,4.4914
33,the girl just drove the wrong way,12000,1944101,0.00617,4.0792
34,The most precious thing parents can give their children is companionship. # touching story # Grandpa grandson love # I am in fast hands to catch up with good drama,152000,3701517,0.04106,5.1818
35,Bai Fumei mother raised a princess sick daughter,23000,1643000,0.014,4.3617
36,challenge with shrimp shell to do dinosaur finally I actually did an unknown creature? Incredible! # Gourmet # Lobstershell for dragons,28000,728683,0.03843,4.4472
37,for excitement she sat directly on the roof of the car # I caught up in the fast hands # Fast Hands Screening room # video commentary,80000,7020508,0.0114,4.9031
38,in the future live broadcast are like this play is OK? Hahaha hiccup ~ vomit ~ # Naruto mobile game # Naruto # snake ball,87000,1512000,0.05754,4.9395
39,girls want to sleep your 7 performance,136000,3683000,0.03693,5.1335
40,near the village appeared such an unknown monster,39000,2275173,0.01714,4.5911
41,waste Yellow River,10000,841905,0.01188,4.0
42,[ancient ancestor] beheaded the true God,15000,355000,0.04225,4.1761
43,Original God [Sword Ghost Challenge] Sword ghost Tianxiu,10000,315000,0.03175,4.0
44,your position will eventually be replaced by someone # Release Xiaoran animation # Spring strike # SpongeBob Squarepants,181000,1776000,0.10191,5.2577
45,Mini world: Food village different people test 60 points home! Jelly lights and decorations,36000,885000,0.04068,4.5563
46,the daughter of a world superstar has to sing for others # Indian drama,130000,3050000,0.04262,5.1139
47,Do you feel the oppression that Suri was born with? # Kingglory Hot # Sullie,47000,747000,0.06292,4.6721
48,this goddess so beautiful must not be a fool it # spring day strike # Set it photosynthesis creator,59000,497000,0.11871,4.7709
49,# Gather it photosynthesis creator Because you fell in love with the end of the summer,60000,650060,0.0923,4.7782
50,the second generation to nearly 200 villages to send warmth,16000,591000,0.02707,4.2041
51,close to feel the sense of pressure from the Asian flying man Su Bingtian! # Gather it photosynthesis creator # Su Bingtian # sprint,23000,285000,0.0807,4.3617
52,eat fried sauce noodles or fried chicken ah ~ | handmade rice balls are too delicious ~ # fried chicken # fried sauce noodles # rice balls,29000,965087,0.03005,4.4624
53,there is such a wife at home,25000,1597000,0.01565,4.398
54,Happy Day # Original God,44000,768000,0.05729,4.6435
55,PUBG reproduces non-human operations,42000,982000,0.04277,4.6233
56,do you often say it is the last time,17000,118000,0.14407,4.2305
57,real low paid high energy,39000,724000,0.05387,4.5911
58,# newdrama hits # Miga town hoping to give heat official dad.,20000,353031,0.05665,4.3011
59,the rebirth of the strongest son-in-law thirty-eighth set the teacher came to the male dormitory # recommended comics # comics recommended # blood,12000,203000,0.05911,4.0792
60,Happy? rs # Ruijin #ooc apologies # ban ky,18000,143184,0.12571,4.2553
61,Can you believe modern special forces travel back in time to the war of Resistance,41000,1253000,0.03272,4.6128
62,Hao Nan personally for the little stammering and Mr. Jiang revenge # Confused boy 3 hand shade the sky # Confused boy series # tribute to Confused boy,18000,606657,0.02967,4.2553
63,# men # Fast film and television new hot plan # film and television collection incentive plan car and airplane engine is there no understand the old iron,17000,1335045,0.01273,4.2305
64,Everyone happy holidays,11000,506000,0.02174,4.0414
65,Do you understand the art of pulling? # King glory # Bright eyes # Guan Yu,86000,2519000,0.03414,4.9345
66,enter the Sea Witch in Pioneer Suit! Is this serious damage? # Douro Land # Douro Land: Soul Master Showdown # Gamepaper,11000,195000,0.05641,4.0414
67,hold my hand hold my hand this time I believe you only believe you. # sunset #music # every frame is love,67000,526000,0.12738,4.8261
68,my visa is finally done! # Rustic love story # Life abroad,18000,586851,0.03067,4.2553
69,type a n in the comments section with 26 letters and see what it is! # Big Blue Cat # Bobbi's playtime # Mama Longlegs,13000,421191,0.03086,4.114
70,of course not just because of a 16.0 to blow all the time,121000,2822000,0.04288,5.0828
